code,school_name,category,year,total_enrollment,grade_k,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,female_count,male_count,asian_count,black_count,hispanic_count,other_count,white_count,ela_test_takers,ela_l1,ela_l2,ela_l3,ela_l4,ela_l3_l4,math_test_takers,math_l1,math_l2,math_l3,math_l4,math_l3_l4
01M020,P.S. 000 Anna Silver,English Language Learners,2015-16,88,20,28,17,0,0,13,0,0,0,45,43,64,0,22,0,0,21,16, ,0,0,0,23,14,7,0,0,0
01M020,P.S. 000 Anna Silver,Poverty,2015-16,535,82,90,98,92,81,92,0,0,0,252,283,192,45,261,14,23,242,84,83,58,17,75,242,95,68,45,34,79
01M020,P.S. 000 Anna Silver,Reside in temporary housing,2015-16,62,0,7,19,16,0,10,0,0,0,31,31,17,7,36,0,0,30,15,10,0,0,0,30,15,7,0,0,8
01M020,P.S. 000 Anna Silver,Students with Disabilities,2015-16,118,17,17,22,22,14,26,0,0,0,48,70,25,13,75,0,0,57,43,12,0,0,0,55,44,10,0,0,0
01M034,P.S. 034 Franklin D. Roosevelt,All Students,2015-16,376,33,41,30,27,36,33,64,62,50,188,188,16,105,242,0,0,263,76,121,57,9,66,263,112,101,36,14,50
01M034,P.S. 034 Franklin D. Roosevelt,Attend school outside district of residence,2015-16,76,6,0,0,6,0,7,14,22,9,42,34,0,21,51,0,0,59,13,28,0,0,18,59,23,23,0,0,13
01M034,P.S. 034 Franklin D. Roosevelt,English Language Learners,2015-16,29,0,0,0,0,0,0,8,0,0,15,14,0,0,24,0,0,22,16,6,0,0,0,22,15,7,0,0,0
01M034,P.S. 034 Franklin D. Roosevelt,Poverty,2015-16,366,33,40,30,26,35,32,63,59,48,182,184,13,103,237,0,0,254,75,117,54,8,62,254,109,97,35,13,48
01M034,P.S. 034 Franklin D. Roosevelt,Reside in temporary housing,2015-16,79,10,12,0,6,8,0,10,16,8,49,30,0,20,57,0,0,50,16,24,0,0,10,50,25,16,0,0,9
01M034,P.S. 034 Franklin D. Roosevelt,Students with Disabilities,2015-16,113,0,0,15,9,13,10,25,16,15,45,68,0,41,70,0,0,86,50,29,0,0,7,86,55,28,0,0,0
01M063,The STAR Academy - P.S.63,All Students,2015-16,188,47,42,35,28,19,17,0,0,0,91,97,0,36,121,0,20,59,13,25,0,0,21,59,12,24,13,10,23
01M110,P.S. 110 Florence Nightingale,English Language Learners,2015-16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M063,The STAR Academy - P.S.63,Attend school outside district of residence,2015-16,70,18,13,14,12,0,0,0,0,0,34,36,0,12,48,0,8,23,0,11,0,0,7,23,6,10,0,0,7
01M063,The STAR Academy - P.S.63,English Language Learners,2015-16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M063,The STAR Academy - P.S.63,Poverty,2015-16,159,41,36,29,18,18,17,0,0,0,81,78,0,32,106,0,12,48,12,22,0,0,14,48,12,21,8,7,15
01M063,The STAR Academy - P.S.63,Reside in temporary housing,2015-16,41,12,11,6,0,0,0,0,0,0,19,22,0,0,31,0,0,8,0,0,0,0,0,8,0,0,0,0,0
01M063,The STAR Academy - P.S.63,Students with Disabilities,2015-16,62,9,11,13,10,9,10,0,0,0,22,40,0,11,46,0,0,27,12,14,0,0,0,27,9,14,0,0,0
01M064,P.S. 064 Robert Simon,All Students,2015-16,238,36,39,37,35,43,48,0,0,0,94,144,0,45,157,0,18,119,40,56,0,0,23,121,48,37,25,11,36
01M064,P.S. 064 Robert Simon,Attend school outside district of residence,2015-16,66,10,7,14,9,11,15,0,0,0,24,42,0,14,40,0,10,33,9,15,0,0,9,33,13,8,0,0,12
01M064,P.S. 064 Robert Simon,English Language Learners,2015-16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M064,P.S. 064 Robert Simon,Poverty,2015-16,220,34,36,36,32,38,44,0,0,0,87,133,0,42,144,0,17,107,37,47,0,0,23,109,43,32,25,9,34
01M064,P.S. 064 Robert Simon,Reside in temporary housing,2015-16,54,0,11,13,9,11,0,0,0,0,16,38,0,9,35,0,0,22,7,12,0,0,0,22,10,6,0,0,6
01M064,P.S. 064 Robert Simon,Students with Disabilities,2015-16,80,9,12,9,14,17,19,0,0,0,23,57,0,12,63,0,0,45,25,18,0,0,0,47,29,14,0,0,0
01M110,P.S. 110 Florence Nightingale,All Students,2015-16,365,47,50,60,88,54,66,0,0,0,177,188,58,34,163,16,94,202,45,49,65,43,108,202,39,43,42,78,120
01M110,P.S. 110 Florence Nightingale,Attend school outside district of residence,2015-16,72,0,0,12,23,9,17,0,0,0,38,34,14,0,27,0,19,48,11,0,24,0,32,48,10,6,10,22,32
01M110,P.S. 110 Florence Nightingale,Poverty,2015-16,193,24,23,29,55,24,38,0,0,0,96,97,42,26,105,0,0,113,33,35,32,13,45,113,32,27,23,31,54
01M110,P.S. 110 Florence Nightingale,Reside in temporary housing,2015-16,38,0,0,10,8,0,9,0,0,0,24,14,7,8,22,0,0,22,8,6,0,0,8,22,8,0,9,0,13
01M110,P.S. 110 Florence Nightingale,Students with Disabilities,2015-16,57,0,10,0,10,8,17,0,0,0,24,33,0,11,32,0,9,34,25,6,0,0,0,34,23,8,0,0,0
01M140,P.S. 140 Nathan Straus,Attend school outside district of residence,2015-16,111,7,9,10,6,9,12,21,6,31,57,54,0,10,88,0,10,83,32,37,0,0,14,83,42,28,0,0,13
01M134,P.S. 134 Henrietta Szold,All Students,2015-16,248,39,33,47,40,51,38,0,0,0,116,132,52,50,138,0,0,124,45,46,24,9,33,123,49,27,27,20,47
01M134,P.S. 134 Henrietta Szold,Attend school outside district of residence,2015-16,65,8,9,13,13,14,8,0,0,0,29,36,20,16,29,0,0,33,11,12,0,0,10,33,14,6,6,7,13
01M134,P.S. 134 Henrietta Szold,English Language Learners,2015-16,31,0,6,6,0,8,0,0,0,0,12,19,19,0,12,0,0,12,10,0,0,0,0,12,7,0,0,0,0
01M134,P.S. 134 Henrietta Szold,Poverty,2015-16,225,35,32,43,37,47,31,0,0,0,105,120,51,44,124,0,0,112,39,42,23,8,31,111,42,26,24,19,43
01M134,P.S. 134 Henrietta Szold,Reside in temporary housing,2015-16,51,10,0,8,11,9,0,0,0,0,24,27,10,12,27,0,0,25,10,11,0,0,0,25,12,8,0,0,0
01M134,P.S. 134 Henrietta Szold,Students with Disabilities,2015-16,82,6,8,22,13,21,12,0,0,0,25,57,9,18,53,0,0,44,26,16,0,0,0,43,30,9,0,0,0
01M137,P.S. 137 John L. Bernstein,All Students,2015-16,145,23,17,19,20,31,35,0,0,0,56,89,16,35,90,0,0,80,48,24,0,0,8,79,52,16,0,0,11
01M137,P.S. 137 John L. Bernstein,Attend school outside district of residence,2015-16,35,6,0,0,0,8,11,0,0,0,13,22,7,6,22,0,0,21,12,0,0,0,0,20,8,7,0,0,0
01M137,P.S. 137 John L. Bernstein,English Language Learners,2015-16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,7,0,0,0,0,8,6,0,0,0,0
02M001,P.S. 001 Alfred E. Smith,Reside in temporary housing,2015-16,21,0,0,0,0,0,6,0,0,0,11,10,0,10,9,0,0,13,10,0,0,0,0,12,9,0,0,0,0
01M137,P.S. 137 John L. Bernstein,Poverty,2015-16,140,23,15,19,19,30,34,0,0,0,53,87,16,34,86,0,0,77,47,24,0,0,6,76,51,15,0,0,10
01M137,P.S. 137 John L. Bernstein,Reside in temporary housing,2015-16,27,0,0,0,0,0,0,0,0,0,11,16,0,6,20,0,0,13,7,0,0,0,0,14,12,0,0,0,0
01M137,P.S. 137 John L. Bernstein,Students with Disabilities,2015-16,62,6,7,9,11,14,15,0,0,0,12,50,0,16,39,0,0,36,31,0,0,0,0,35,30,0,0,0,0
01M140,P.S. 140 Nathan Straus,All Students,2015-16,363,26,25,29,30,34,29,69,49,72,181,182,19,46,281,0,0,275,107,122,0,0,46,276,140,96,31,9,40
01M140,P.S. 140 Nathan Straus,English Language Learners,2015-16,54,0,9,0,0,9,0,0,8,13,26,28,6,0,43,0,0,37,16,21,0,0,0,40,30,9,0,0,0
01M140,P.S. 140 Nathan Straus,Poverty,2015-16,363,26,25,29,30,34,29,69,49,72,181,182,19,46,281,0,0,275,107,122,0,0,46,276,140,96,31,9,40
01M140,P.S. 140 Nathan Straus,Reside in temporary housing,2015-16,54,7,0,9,6,0,8,10,0,6,26,28,0,0,48,0,0,35,14,16,0,0,0,36,20,11,0,0,0
01M140,P.S. 140 Nathan Straus,Students with Disabilities,2015-16,128,0,0,11,9,13,18,29,19,19,54,74,0,14,100,0,7,105,74,28,0,0,0,103,80,19,0,0,0
01M142,P.S. 140 Amalia Castro,All Students,2015-16,332,56,56,52,42,67,59,0,0,0,149,183,22,37,259,6,8,156,64,66,20,6,26,153,62,63,0,0,28
01M142,P.S. 140 Amalia Castro,Attend school outside district of residence,2015-16,100,12,18,22,9,18,21,0,0,0,49,51,9,10,78,0,0,44,17,19,0,0,8,44,17,19,0,0,8
01M142,P.S. 140 Amalia Castro,English Language Learners,2015-16,30,0,10,7,0,0,0,0,0,0,11,19,0,0,27,0,0,0,0,0,0,0,0,7,0,0,0,0,0
01M142,P.S. 140 Amalia Castro,Poverty,2015-16,321,53,55,52,40,65,56,0,0,0,143,178,21,36,250,6,8,149,61,63,19,6,25,147,59,60,0,0,28
01M142,P.S. 140 Amalia Castro,Reside in temporary housing,2015-16,81,17,20,17,9,12,6,0,0,0,34,47,0,6,68,0,0,23,8,10,0,0,0,20,6,9,0,0,0
01M142,P.S. 140 Amalia Castro,Students with Disabilities,2015-16,113,13,25,20,14,18,23,0,0,0,35,78,0,13,94,0,0,50,35,14,0,0,0,46,26,18,0,0,0
01M184,P.S. 184m Shuang Wen,All Students,2015-16,627,63,73,77,61,63,77,84,78,51,309,318,449,24,67,30,57,402,30,117,145,110,255,409,25,57,102,225,327
01M184,P.S. 184m Shuang Wen,Attend school outside district of residence,2015-16,182,0,0,13,19,18,37,31,30,22,84,98,146,0,11,0,12,156,13,42,57,44,101,155,9,21,29,96,125
01M184,P.S. 184m Shuang Wen,English Language Learners,2015-16,115,21,36,12,11,12,11,0,0,0,46,69,110,0,0,0,0,37,13,18,0,0,6,45,0,11,17,14,31
01M184,P.S. 184m Shuang Wen,Poverty,2015-16,442,37,54,47,43,50,52,60,61,38,212,230,363,17,47,0,0,293,28,92,101,72,173,300,20,46,74,160,234
01M184,P.S. 184m Shuang Wen,Reside in temporary housing,2015-16,22,0,0,0,0,0,0,0,0,0,9,13,18,0,0,0,0,12,0,0,0,0,0,17,0,0,0,0,10
01M184,P.S. 184m Shuang Wen,Students with Disabilities,2015-16,104,19,13,9,0,11,11,17,13,0,38,66,67,7,14,7,9,62,14,30,0,0,18,61,14,13,20,14,34
01M188,P.S. 188 The Island School,All Students,2015-16,458,47,48,50,43,43,54,52,60,61,203,255,0,138,295,0,16,301,114,145,0,0,42,302,106,133,41,22,63
01M188,P.S. 188 The Island School,Attend school outside district of residence,2015-16,134,14,11,14,8,16,10,19,18,24,50,84,0,40,86,0,0,90,31,49,0,0,10,91,25,42,15,9,24
01M188,P.S. 188 The Island School,English Language Learners,2015-16,77,7,12,6,11,0,0,11,10,15,38,39,0,0,70,0,0,49,27,20,0,0,0,50,16,32,0,0,0
01M188,P.S. 188 The Island School,Poverty,2015-16,458,47,48,50,43,43,54,52,60,61,203,255,0,138,295,0,16,301,114,145,0,0,42,302,106,133,41,22,63
19K404,Academy for Young Writers,English Language Learners,2015-16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M188,P.S. 188 The Island School,Reside in temporary housing,2015-16,192,27,23,20,23,15,28,19,18,19,90,102,0,67,117,0,0,115,52,47,0,0,16,116,48,50,12,6,18
01M188,P.S. 188 The Island School,Students with Disabilities,2015-16,138,9,14,15,10,17,17,13,19,24,46,92,0,46,85,0,0,97,50,42,0,0,0,97,35,53,0,0,9
01M292,Henry Street School for International Studies,All Students,2015-16,25,0,0,0,0,0,0,0,14,11,0,0,0,11,12,0,0,24,14,8,0,0,0,24,18,6,0,0,0
01M292,Henry Street School for International Studies,Attend school outside district of residence,2015-16,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,10,8,0,0,0,0
01M292,Henry Street School for International Studies,English Language Learners,2015-16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M292,Henry Street School for International Studies,Poverty,2015-16,22,0,0,0,0,0,0,0,12,10,0,0,0,10,11,0,0,21,13,6,0,0,0,21,15,6,0,0,0
01M292,Henry Street School for International Studies,Reside in temporary housing,2015-16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0
01M292,Henry Street School for International Studies,Students with Disabilities,2015-16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,11,0,0,0,0,12,9,0,0,0,0
01M301,"Technology, Arts, and Sciences Studio",All Students,2015-16,156,0,0,0,0,0,0,46,54,56,76,80,12,45,86,6,7,147,47,65,29,6,35,146,102,36,0,0,8
01M301,"Technology, Arts, and Sciences Studio",Attend school outside district of residence,2015-16,43,0,0,0,0,0,0,10,16,17,23,20,0,16,23,0,0,42,10,22,0,0,10,41,29,11,0,0,0
01M301,"Technology, Arts, and Sciences Studio",English Language Learners,2015-16,10,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,0,9,8,0,0,0,0,10,10,0,0,0,0
01M301,"Technology, Arts, and Sciences Studio",Poverty,2015-16,156,0,0,0,0,0,0,46,54,56,76,80,12,45,86,6,7,147,47,65,29,6,35,146,102,36,0,0,8
01M301,"Technology, Arts, and Sciences Studio",Reside in temporary housing,2015-16,20,0,0,0,0,0,0,0,10,0,8,12,0,8,10,0,0,19,7,9,0,0,0,18,12,6,0,0,0
02M051,P.S. 051 Elias Howe,Attend school outside district of residence,2015-16,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0
01M301,"Technology, Arts, and Sciences Studio",Students with Disabilities,2015-16,60,0,0,0,0,0,0,16,26,18,27,33,0,19,34,0,0,59,31,22,0,0,6,58,51,6,0,0,0
01M315,The East Village Community School,All Students,2015-16,263,49,50,47,45,45,27,0,0,0,125,138,25,25,58,15,140,94,11,34,37,12,49,93,16,19,22,36,58
01M315,The East Village Community School,Attend school outside district of residence,2015-16,73,10,13,12,12,13,13,0,0,0,36,37,0,10,15,0,37,29,0,9,11,0,15,28,0,8,8,8,16
01M315,The East Village Community School,English Language Learners,2015-16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M315,The East Village Community School,Poverty,2015-16,59,11,0,10,13,14,0,0,0,0,28,31,0,13,21,0,12,26,7,11,0,0,8,24,9,0,6,0,11
01M315,The East Village Community School,Reside in temporary housing,2015-16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M315,The East Village Community School,Students with Disabilities,2015-16,56,6,7,11,11,12,9,0,0,0,22,34,0,10,18,0,22,21,8,9,0,0,0,22,9,9,0,0,0
01M332,University Neighborhood Middle School,All Students,2015-16,110,0,0,0,0,0,0,39,35,36,49,61,6,30,69,0,0,99,38,37,14,10,24,101,65,29,0,0,7
01M332,University Neighborhood Middle School,Attend school outside district of residence,2015-16,41,0,0,0,0,0,0,12,13,16,18,23,0,13,22,0,0,38,14,15,0,0,9,39,26,9,0,0,0
01M332,University Neighborhood Middle School,English Language Learners,2015-16,16,0,0,0,0,0,0,0,0,7,9,7,0,0,11,0,0,12,8,0,0,0,0,14,11,0,0,0,0
01M332,University Neighborhood Middle School,Poverty,2015-16,110,0,0,0,0,0,0,39,35,36,49,61,6,30,69,0,0,99,38,37,14,10,24,101,65,29,0,0,7
01M332,University Neighborhood Middle School,Reside in temporary housing,2015-16,13,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,12,6,0,0,0,0,12,8,0,0,0,0
01M332,University Neighborhood Middle School,Students with Disabilities,2015-16,42,0,0,0,0,0,0,13,17,12,15,27,0,12,28,0,0,36,19,15,0,0,0,36,29,7,0,0,0
01M345,"Collaborative Academy of Science, Technology, & La",All Students,2015-16,105,0,0,0,0,0,0,34,40,31,46,59,14,32,55,0,0,99,43,38,0,0,18,98,72,17,0,0,9
01M345,"Collaborative Academy of Science, Technology, & La",Attend school outside district of residence,2015-16,32,0,0,0,0,0,0,0,17,0,11,21,0,12,15,0,0,31,16,10,0,0,0,31,24,0,0,0,0
01M345,"Collaborative Academy of Science, Technology, & La",English Language Learners,2015-16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,7,7,0,0,0,0
01M345,"Collaborative Academy of Science, Technology, & La",Poverty,2015-16,105,0,0,0,0,0,0,34,40,31,46,59,14,32,55,0,0,99,43,38,0,0,18,98,72,17,0,0,9
01M345,"Collaborative Academy of Science, Technology, & La",Reside in temporary housing,2015-16,19,0,0,0,0,0,0,0,8,0,6,13,0,0,11,0,0,17,6,0,0,0,7,17,12,0,0,0,0
01M345,"Collaborative Academy of Science, Technology, & La",Students with Disabilities,2015-16,42,0,0,0,0,0,0,14,20,8,17,25,0,15,23,0,0,39,25,12,0,0,0,38,35,0,0,0,0
01M361,The Children's Workshop School,All Students,2015-16,234,47,46,39,33,26,43,0,0,0,114,120,0,27,91,0,88,81,15,19,30,17,47,83,19,19,22,23,45
01M361,The Children's Workshop School,Attend school outside district of residence,2015-16,87,16,12,13,18,9,19,0,0,0,42,45,12,0,16,0,49,35,0,0,16,9,25,36,0,6,13,13,26
01M361,The Children's Workshop School,English Language Learners,2015-16,18,0,0,0,0,0,0,0,0,0,8,10,0,0,13,0,0,6,0,0,0,0,0,6,0,0,0,0,0
01M361,The Children's Workshop School,Poverty,2015-16,110,26,23,17,17,14,13,0,0,0,53,57,0,18,61,0,16,34,12,9,6,7,13,35,14,9,6,6,12
01M361,The Children's Workshop School,Reside in temporary housing,2015-16,17,0,0,0,0,0,0,0,0,0,8,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M361,The Children's Workshop School,Students with Disabilities,2015-16,57,0,11,10,9,0,16,0,0,0,23,34,0,12,23,0,15,22,11,7,0,0,0,25,14,0,0,0,6
01M363,Neighborhood School,All Students,2015-16,297,58,62,38,44,39,56,0,0,0,134,163,17,39,102,8,131,35,9,16,0,0,10,34,10,14,0,0,10
01M363,Neighborhood School,Attend school outside district of residence,2015-16,103,18,20,14,14,14,23,0,0,0,48,55,7,16,33,6,41,13,0,7,0,0,0,14,0,7,0,0,0
01M363,Neighborhood School,English Language Learners,2015-16,11,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M363,Neighborhood School,Poverty,2015-16,116,21,19,16,20,18,22,0,0,0,48,68,0,28,62,0,19,16,0,8,0,0,0,16,0,7,0,0,0
01M363,Neighborhood School,Reside in temporary housing,2015-16,19,0,0,0,0,0,0,0,0,0,7,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M363,Neighborhood School,Students with Disabilities,2015-16,68,10,13,8,7,10,20,0,0,0,13,55,0,17,26,0,19,0,0,0,0,0,0,0,0,0,0,0,0
01M364,Earth School,All Students,2015-16,304,50,53,48,49,48,56,0,0,0,146,158,23,42,110,18,111,45,6,13,17,9,26,45,9,14,7,15,22
01M364,Earth School,Attend school outside district of residence,2015-16,96,9,16,12,18,18,23,0,0,0,45,51,11,16,24,9,36,17,0,6,0,0,9,18,0,0,0,6,10
01M364,Earth School,English Language Learners,2015-16,19,0,7,0,6,0,0,0,0,0,11,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M364,Earth School,Poverty,2015-16,143,29,30,22,22,18,22,0,0,0,68,75,12,29,69,6,27,13,0,0,0,0,6,13,0,0,0,0,0
01M364,Earth School,Reside in temporary housing,2015-16,30,14,7,0,0,0,0,0,0,0,17,13,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M364,Earth School,Students with Disabilities,2015-16,78,11,8,10,17,14,18,0,0,0,19,59,0,19,29,0,22,0,0,0,0,0,0,0,0,0,0,0,0
01M378,School for Global Leaders,All Students,2015-16,264,0,0,0,0,0,0,100,84,80,117,147,40,59,154,0,0,251,78,119,42,12,54,250,75,110,35,30,65
01M378,School for Global Leaders,Attend school outside district of residence,2015-16,91,0,0,0,0,0,0,34,32,25,42,49,11,22,55,0,0,88,31,35,0,0,22,88,24,37,15,12,27
01M378,School for Global Leaders,Poverty,2015-16,264,0,0,0,0,0,0,100,84,80,117,147,40,59,154,0,0,251,78,119,42,12,54,250,75,110,35,30,65
01M378,School for Global Leaders,Reside in temporary housing,2015-16,36,0,0,0,0,0,0,14,12,10,14,22,8,9,18,0,0,33,12,18,0,0,0,32,8,15,0,0,9
01M378,School for Global Leaders,Students with Disabilities,2015-16,87,0,0,0,0,0,0,37,31,19,34,53,0,29,53,0,0,78,45,31,0,0,0,77,40,33,0,0,0
01M450,East Side Community School,All Students,2015-16,291,0,0,0,0,0,0,95,103,93,144,147,26,58,147,11,49,226,31,98,78,19,97,220,37,95,55,33,88
01M450,East Side Community School,Attend school outside district of residence,2015-16,96,0,0,0,0,0,0,33,34,29,43,53,0,27,47,0,15,71,11,32,0,0,28,71,13,36,11,11,22
01M450,East Side Community School,Poverty,2015-16,176,0,0,0,0,0,0,53,63,60,86,90,17,44,101,0,0,137,23,60,45,9,54,131,25,62,31,13,44
01M450,East Side Community School,Reside in temporary housing,2015-16,20,0,0,0,0,0,0,0,0,9,7,13,0,0,13,0,0,17,0,9,0,0,6,15,0,8,0,0,0
01M450,East Side Community School,Students with Disabilities,2015-16,90,0,0,0,0,0,0,26,28,36,34,56,0,22,48,0,13,54,24,25,0,0,0,50,21,24,0,0,0
01M539,"New Explorations into Science, Technology and Math",All Students,2015-16,1098,123,111,113,115,117,116,144,122,137,564,534,345,76,80,69,528,735,0,0,231,446,677,599,0,27,90,480,570
01M539,"New Explorations into Science, Technology and Math",Attend school outside district of residence,2015-16,1017,117,105,103,111,112,102,140,110,117,527,490,325,73,72,63,484,679,0,0,213,413,626,561,0,27,83,449,532
01M539,"New Explorations into Science, Technology and Math",English Language Learners,2015-16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M539,"New Explorations into Science, Technology and Math",Poverty,2015-16,146,17,16,15,13,14,15,18,17,21,70,76,67,20,20,8,31,96,0,0,26,54,80,75,0,11,14,49,63
01M539,"New Explorations into Science, Technology and Math",Reside in temporary housing,2015-16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01M539,"New Explorations into Science, Technology and Math",Students with Disabilities,2015-16,38,0,0,6,0,0,0,0,0,9,8,30,0,0,6,0,20,26,0,10,9,0,15,17,0,0,6,0,11
01M839,Tompkins Square Middle School,All Students,2015-16,371,0,0,0,0,0,0,127,124,120,195,176,87,59,138,12,75,285,43,106,80,56,136,268,60,91,70,47,117
01M839,Tompkins Square Middle School,Attend school outside district of residence,2015-16,130,0,0,0,0,0,0,38,45,47,70,60,25,0,51,0,26,93,15,34,25,19,44,91,24,31,21,15,36
01M839,Tompkins Square Middle School,English Language Learners,2015-16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,9,6,0,0,0,0
01M839,Tompkins Square Middle School,Poverty,2015-16,371,0,0,0,0,0,0,127,124,120,195,176,87,59,138,12,75,285,43,106,80,56,136,268,60,91,70,47,117
01M839,Tompkins Square Middle School,Reside in temporary housing,2015-16,14,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,10,0,7,0,0,0,10,0,0,0,0,0
01M839,Tompkins Square Middle School,Students with Disabilities,2015-16,87,0,0,0,0,0,0,28,30,29,37,50,0,24,38,0,13,64,30,27,0,0,7,63,35,21,0,0,7
02M001,P.S. 001 Alfred E. Smith,All Students,2015-16,372,48,58,60,61,70,75,0,0,0,170,202,246,45,77,0,0,194,59,57,52,26,78,196,45,36,43,72,115
02M001,P.S. 001 Alfred E. Smith,Attend school outside district of residence,2015-16,73,11,9,9,13,12,19,0,0,0,36,37,41,17,14,0,0,42,15,7,11,9,20,40,10,0,11,15,26
